{'splitter': 'best', 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2} -9.961197898179911 0.14948790215568505
{'splitter': 'random', 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2} -10.577981697209879 0.22253165503519737
{'splitter': 'best', 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 4} -9.17809479353451 0.1435448338395236
{'splitter': 'random', 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 4} -9.726175605858328 0.15735410214834136
{'splitter': 'best', 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 6} -8.428111357165665 0.16124869985374113
{'splitter': 'random', 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 6} -8.85374292346054 0.20027306083820579
{'splitter': 'best', 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2} -1.210234835190345 0.030443770538390827
{'splitter': 'random', 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2} -1.3328112746191785 0.025771585897003554
{'splitter': 'best', 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 4} -1.2028378881170736 0.02870730475704679
{'splitter': 'random', 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 4} -1.3844989630273754 0.02087888540070761
{'splitter': 'best', 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 6} -1.1823516638369702 0.028159252130507344
{'splitter': 'random', 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 6} -1.3449519625127169 0.029498673249876168
{'splitter': 'best', 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 2} -3.480520069150465 0.05132484140588472
{'splitter': 'random', 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 2} -3.239792285266132 0.2602909803261545
{'splitter': 'best', 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 4} -3.3547082469089005 0.06722983543069205
{'splitter': 'random', 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 4} -2.9251727823273543 0.21241513361863143
{'splitter': 'best', 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 6} -3.1879545691423052 0.06521883745575066
{'splitter': 'random', 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 6} -2.6347465760167337 0.2749564993624053
{'splitter': 'best', 'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 2} -9.825662922436884 0.11792927657925668
{'splitter': 'random', 'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 2} -9.96590226324239 0.10585056986390438
{'splitter': 'best', 'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 4} -9.080151123334387 0.16693110900228103
{'splitter': 'random', 'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 4} -9.169577657270723 0.14324895829519751
{'splitter': 'best', 'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 6} -8.342147208030969 0.17429532709511164
{'splitter': 'random', 'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 6} -8.482863013946352 0.2599324014691809
{'splitter': 'best', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2} -10.092369113358231 0.14416378649458436
{'splitter': 'random', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2} -11.084804945643555 0.13134651387833945
{'splitter': 'best', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 4} -9.436055422118013 0.11799822467683634
{'splitter': 'random', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 4} -10.001012714877428 0.05893448662309069
{'splitter': 'best', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 6} -8.576744940957747 0.09445186803354647
{'splitter': 'random', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 6} -8.98245496832213 0.20020226199887367
{'splitter': 'best', 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2} -1.327205118255133 0.027325880979282513
{'splitter': 'random', 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2} -1.4462655134144868 0.0901572387739167
{'splitter': 'best', 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 4} -1.3166563654222403 0.03633307007529792
{'splitter': 'random', 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 4} -1.482950482306729 0.08059467388823291
{'splitter': 'best', 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 6} -1.3077248690078076 0.03166085236582862
{'splitter': 'random', 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 6} -1.400413619692853 0.07281119989801048
{'splitter': 'best', 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 2} -5.04721401957969 0.13860453743203474
{'splitter': 'random', 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 2} -4.795214542268945 0.4378573475785418
{'splitter': 'best', 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 4} -4.8468795930288815 0.0953763972578682
{'splitter': 'random', 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 4} -4.470613295834197 0.7050599237442058
{'splitter': 'best', 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 6} -4.5686112363178975 0.10325086559552805
{'splitter': 'random', 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 6} -3.8998338610816665 0.2687805052979732
{'splitter': 'best', 'criterion': 'entropy', 'max_depth': 50, 'min_samples_split': 2} -10.020220239883965 0.1415590287143262
{'splitter': 'random', 'criterion': 'entropy', 'max_depth': 50, 'min_samples_split': 2} -10.848141231714479 0.13761353390509803
{'splitter': 'best', 'criterion': 'entropy', 'max_depth': 50, 'min_samples_split': 4} -9.445882220523657 0.0939927597947914
{'splitter': 'random', 'criterion': 'entropy', 'max_depth': 50, 'min_samples_split': 4} -9.898750883888695 0.17354051093677564
