{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 0.7, 'reg_alpha': 0, 'reg_lambda': 0, 'max_depth': 5, 'subsample': 0.7, 'learning_rate': 0.1} -0.5622719033050982 0.00634411656847632
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 0.7, 'reg_alpha': 0, 'reg_lambda': 0, 'max_depth': 5, 'subsample': 1, 'learning_rate': 0.1} -0.5691855176244753 0.0052419935737052295
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 0.7, 'reg_alpha': 0, 'reg_lambda': 1, 'max_depth': 5, 'subsample': 0.7, 'learning_rate': 0.1} -0.5645716146716404 0.006669462343943674
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 0.7, 'reg_alpha': 0, 'reg_lambda': 1, 'max_depth': 5, 'subsample': 1, 'learning_rate': 0.1} -0.5706180616476833 0.005576247230389892
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 0.7, 'reg_alpha': 1, 'reg_lambda': 0, 'max_depth': 5, 'subsample': 0.7, 'learning_rate': 0.1} -0.5652450404006603 0.006452548073301953
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 0.7, 'reg_alpha': 1, 'reg_lambda': 0, 'max_depth': 5, 'subsample': 1, 'learning_rate': 0.1} -0.5705901914239183 0.005300862142606409
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 0.7, 'reg_alpha': 1, 'reg_lambda': 1, 'max_depth': 5, 'subsample': 0.7, 'learning_rate': 0.1} -0.5677168184310606 0.00662314892547538
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 0.7, 'reg_alpha': 1, 'reg_lambda': 1, 'max_depth': 5, 'subsample': 1, 'learning_rate': 0.1} -0.5720508154415876 0.005165774266190132
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 0.7, 'reg_alpha': 0, 'reg_lambda': 0, 'max_depth': 7, 'subsample': 0.7, 'learning_rate': 0.1} -0.5162999805462627 0.005039223549912704
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 0.7, 'reg_alpha': 0, 'reg_lambda': 0, 'max_depth': 7, 'subsample': 1, 'learning_rate': 0.1} -0.5232117296896049 0.005725833191446985
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 0.7, 'reg_alpha': 0, 'reg_lambda': 1, 'max_depth': 7, 'subsample': 0.7, 'learning_rate': 0.1} -0.520411342606454 0.005438948784253256
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 0.7, 'reg_alpha': 0, 'reg_lambda': 1, 'max_depth': 7, 'subsample': 1, 'learning_rate': 0.1} -0.5251709456252657 0.005936317906350134
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 0.7, 'reg_alpha': 1, 'reg_lambda': 0, 'max_depth': 7, 'subsample': 0.7, 'learning_rate': 0.1} -0.5214383819839588 0.005472741028905176
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 0.7, 'reg_alpha': 1, 'reg_lambda': 0, 'max_depth': 7, 'subsample': 1, 'learning_rate': 0.1} -0.526005037273309 0.006143994008128056
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 0.7, 'reg_alpha': 1, 'reg_lambda': 1, 'max_depth': 7, 'subsample': 0.7, 'learning_rate': 0.1} -0.523974426240907 0.005503623061795146
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 0.7, 'reg_alpha': 1, 'reg_lambda': 1, 'max_depth': 7, 'subsample': 1, 'learning_rate': 0.1} -0.52851814149031 0.0062820934518770305
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 0.7, 'reg_alpha': 0, 'reg_lambda': 0, 'max_depth': 9, 'subsample': 0.7, 'learning_rate': 0.1} -0.4923545235701378 0.006343264128390968
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 0.7, 'reg_alpha': 0, 'reg_lambda': 0, 'max_depth': 9, 'subsample': 1, 'learning_rate': 0.1} -0.49798012894880045 0.005596289201895146
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 0.7, 'reg_alpha': 0, 'reg_lambda': 1, 'max_depth': 9, 'subsample': 0.7, 'learning_rate': 0.1} -0.49560972811249754 0.006348656514986521
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 0.7, 'reg_alpha': 0, 'reg_lambda': 1, 'max_depth': 9, 'subsample': 1, 'learning_rate': 0.1} -0.500182196915842 0.005542794615137
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 0.7, 'reg_alpha': 1, 'reg_lambda': 0, 'max_depth': 9, 'subsample': 0.7, 'learning_rate': 0.1} -0.49777329108658663 0.005785952868524189
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 0.7, 'reg_alpha': 1, 'reg_lambda': 0, 'max_depth': 9, 'subsample': 1, 'learning_rate': 0.1} -0.5003442084563305 0.0051790790596074774
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 0.7, 'reg_alpha': 1, 'reg_lambda': 1, 'max_depth': 9, 'subsample': 0.7, 'learning_rate': 0.1} -0.5006374446014425 0.005708227529442973
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 0.7, 'reg_alpha': 1, 'reg_lambda': 1, 'max_depth': 9, 'subsample': 1, 'learning_rate': 0.1} -0.502687780776296 0.005580356100064377
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 1, 'reg_alpha': 0, 'reg_lambda': 0, 'max_depth': 5, 'subsample': 0.7, 'learning_rate': 0.1} -0.5582893890631688 0.004705944353099695
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 1, 'reg_alpha': 0, 'reg_lambda': 0, 'max_depth': 5, 'subsample': 1, 'learning_rate': 0.1} -0.5681124145846597 0.005286526839117073
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 1, 'reg_alpha': 0, 'reg_lambda': 1, 'max_depth': 5, 'subsample': 0.7, 'learning_rate': 0.1} -0.5603203187483243 0.004982351881832269
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 1, 'reg_alpha': 0, 'reg_lambda': 1, 'max_depth': 5, 'subsample': 1, 'learning_rate': 0.1} -0.5693122882140339 0.005393876301559774
